Game Number,Player 1 Score,Player 2 Score,Player 2 Win
1,48,16,0
2,41,23,0
3,14,50,0
4,26,38,0
5,32,32,0
6,43,21,0
7,21,43,0
8,31,33,0
9,45,19,0
10,13,51,0
11,0,38,0
12,19,45,0
13,30,34,0
14,32,32,0
15,32,32,0
16,35,29,0
17,43,21,0
18,14,50,0
19,10,54,0
20,38,26,0
21,20,44,0
22,19,45,0
23,11,53,0
24,20,44,0
25,35,29,0
26,24,40,0
27,47,17,0
28,1,59,0
29,14,50,0
30,19,45,0
31,0,26,0
32,0,24,0
33,0,42,0
34,12,52,0
35,16,48,0
36,38,26,0
37,18,46,0
38,16,48,0
39,33,30,0
40,0,36,0
41,20,44,0
42,35,29,0
43,24,40,0
44,0,18,0
45,26,38,0
46,40,24,0
47,38,26,0
48,32,32,0
49,22,42,0
50,25,39,0
51,13,50,0
52,34,30,0
53,39,25,0
54,46,18,0
55,30,34,0
56,15,49,0
57,38,26,0
58,0,34,0
59,14,50,0
60,16,48,0
61,17,47,0
62,17,47,0
63,25,39,0
64,22,42,0
65,20,44,0
66,26,38,0
67,31,33,0
68,28,36,0
69,16,48,0
70,32,32,0
71,29,35,0
72,23,41,0
73,5,59,0
74,21,43,0
75,36,28,0
76,42,22,0
77,20,44,0
78,46,18,0
79,42,22,0
80,19,45,0
81,6,57,0
82,27,37,0
83,0,18,0
84,37,27,0
85,24,40,0
86,29,35,0
87,34,30,0
88,10,54,0
89,11,53,0
90,17,47,0
91,26,38,0
92,32,32,0
93,15,49,0
94,0,30,0
95,11,53,0
96,13,51,0
97,24,40,0
98,35,29,0
99,15,49,0
100,35,29,0
